key;en;ua;cn;ja;ko
log_need_auth;Import stopped. Reauthorization required.;;;;
log_incorrent_project_url;Incorrect project url.;;;;
log_project_downloaded;The project has been downloaded. Select the page you want to get frames from.;;;;
log_frames_finded;Finded {0} frames. Download them?;;;;
log_sprite_not_found;Sprite not found. Skip. Component: {0};;;;
log_auth_complete;Auth complete!;;;;
log_parsed;Parsed {0} childs of {1};;;;
log_open_auth_page;Opening authorization page in the web browser…;;;;
log_downloading_images;Downloading images: {0} of {1};;;;
log_getting_links;Getting links to download images: {0} of {1};;;;
log_links_added;Image links received: {0} of {1};;;;
log_draw_components;{0} components are downloaded.;;;;
log_anti_ddos;Cloudfront has blocked your request to get images. Don't download too many frames at once, or try again later.;;;;
log_cant_download_project;Can't download project.\n{0};;;;
label_download_project;Download Project;;;;
tooltip_download_project;;;;;
label_import_frames;Import Frames;;;;
tooltip_import_frames;;;;;
label_made_by;"made by
t.me/da_assets_publisher";;;;
tooltip_madeby;;;;;
tooltip_product_version;The current version of the asset.;;;;
label_user_name;The name of the user authorized in the current instance of the asset.;;;;
tooltip_user_id;The ID of the user authorized in the current instance of the asset.;;;;
log_frames_not_found;No frames found. Try check the selected page and the tags of its components are correct.;;;;
tooltip_asset_instance_id;The ID of this asset instance.;;;;
label_kilobytes;The number of downloaded kilobytes of the current download object.;;;;
label_no_recent_projects;No recent projects found.;;;;
label_main_settings;MAIN SETTINGS;;;;
label_token;Token;;;;
tooltip_token;The token is needed for the working of the asset, it is used to send api requests to Figma.;;;;
label_auth;Auth;;;;
tooltip_auth;Authorization button.;;;;
label_project_url;Project Url;;;;
tooltip_project_url;Link to your project in Figma.;;;;
tooltip_recent_projects;View recent projects.;;;;
label_images_format;Images Format;;;;
tooltip_images_format;Format of images imported from Figma.;;;;
label_images_scale;Images Scale;;;;
tooltip_images_scale;The size of the images imported from Figma.;;;;
label_image_component;Image Component;;;;
tooltip_image_component;;;;;
label_text_component;Text Component;;;;
tooltip_text_component;A text component to be used when wrapping text from Figma. Currently 'Unity.UI.Text' and 'TextMeshPro' are supported.;;;;
label_shadow_type;Shadow Type;;;;
tooltip_shadow_type;The type of shadow that is used when transferring the shadow effect from Figma. Currently the 'TrueShadow' asset is supported, you can also turn off the shadow.;;;;
label_mask_component;Mask Component;;;;
tooltip_mask_component;;;;;
label_use_i2localization;Use I2Localization;;;;
tooltip_use_i2localization;Whether to add 'I2Localize' script to 'Unity.UI.Text' or 'TextMeshPro' component.;;;;
label_redownload_sprites;Redownload Sprites;;;;
tooltip_redownload_sprites;If enabled, the downloadable images will replace those that were downloaded earlier when old downloading.;;;;
label_debug_mode;Debug Mode;;;;
tooltip_debug_mode;Feature for developers. Allows to save the received response from Figma in json format.;;;;
label_pui_settings;PROCEDURAL UI IMAGE SETTINGS;;;;
label_pui_type;Type;;;;
tooltip_pui_type;;;;;
label_pui_raycast_target;Raycast Target;;;;
tooltip_pui_raycast_target;;;;;
label_pui_modifier_type;Modifier Type;;;;
tooltip_pui_modifier_type;;;;;
label_pui_border_width;Border Width;;;;
tooltip_pui_border_width;;;;;
label_pui_falloff_distance;Falloff Distance;;;;
tooltip_pui_falloff_distance;;;;;
label_unity_text_settings;UNITY TEXT SETTINGS;;;;
tooltip_unity_text_settings;;;;;
label_best_fit;Best Fit;;;;
tooltip_best_fit;Should Unity ignore the size properties and simply try to fit the text to the control's rectangle?;;;;
label_line_spacing;Line Spacing;;;;
tooltip_line_spacing;The vertical separation between lines of text.;;;;
label_horizontal_overflow;Horizontal Overflow;;;;
tooltip_horizontal_overflow;The method used to handle the situation where the text is too wide to fit in the rectangle. The options are Wrap and Overflow.;;;;
label_vertical_overflow;Vertical Overflow;;;;
tooltip_vertical_overflow;The method used to handle the situation where wrapped text is too tall to fit in the rectangle. The options are Truncate and Overflow.;;;;
label_textmeshpro_settings;TEXTMESHPRO SETTINGS;;;;
label_auto_size;Auto Size;;;;
tooltip_auto_size;Auto sizes the text to fit the available space.;;;;
label_override_tags;Override Tags;;;;
tooltip_override_tags;Whether the color settings override the <color> tag.;;;;
label_wrapping;Wrapping;;;;
tooltip_wrapping;Wraps text to the next line when reaching the edge of the container.;;;;
label_rich_text;Rich Text;;;;
tooltip_rich_text;Enables the use of rich text tags such as <color> and <font>.;;;;
label_raycast_target;Raycast Target;;;;
tooltip_raycast_target;Whether the text blocks raycasts from the Graphic Raycaster.;;;;
label_parse_escape_characters;Parse Escape Characters;;;;
tooltip_parse_escape_characters;"Whether to display strings such as \""\\n\"" as is or replace them by the character they represent.";;;;
label_visible_descender;Visible Descender;;;;
tooltip_visible_descender;Compute descender values from visible characters only. Used to adjust layout behavior when hiding and revealing characters dynamically.;;;;
label_kerning;Kerning;;;;
